qid,question,q_type,level,source_hint,must_include,scoring,fail_mode
A013,CXL 메모리 상용화 관련 최근 표준 · 제품 발표는?,사실,hard,뉴스 · 기관,CXL 버전;제품 또는 검증 사례;발표 주체,버전 + 사례 제시,표준 버전 혼동
A014,LPDDR6 표준 제정 현황은?,사실,hard,기관 · 뉴스,표준화 단계(JEDEC);주요 사양 변화;예상 적용 시점,단계 + 사양 제시,확정 전 사양을 확정으로 서술
A015,샌디스크 분사 이후 NAND 사업 구조 변화는?,사실,mid,뉴스 · 증권사,분사 구조;합작 관계(키옥시아);시점,구조 + 관계 제시,분사 전후 사업 범위 혼동
A016,키옥시아의 최근 증설 · 상장 관련 소식은?,사실,mid,뉴스,증설 또는 상장 내용;시점;규모,내용 + 시점 제시,계획과 확정 혼동
A017,TSMC CoWoS 증설 계획과 HBM 수요의 연결 관계는?,사실,hard,증권사 · 기관,CoWoS 캐파 계획;HBM 수요와의 연결 논리;출처,캐파 + 연결 논리 제시,인과 과장
A018,데이터센터 전력 제약이 서버 출하에 주는 영향은?,사실,hard,기관 · 뉴스,전력 제약 사례 · 지역;서버 출하 영향 경로;시점,사례 + 영향 경로 제시,근거 없는 일반화
A019,최근 분기 DRAM 시장 규모와 전분기 대비 증감률은?,수치,easy,기관 · 증권사,시장 규모 금액;증감률(%);기준 분기 · 출처 기관,금액 + 증감률 + 기준 분기,연간 · 분기 단위 혼동
A020,최근 DRAM 고정거래가격(DDR5 16Gb 기준)은?,수치,easy,기관,가격(USD);기준 제품 규격;기준 월 · 출처,가격 + 규격 + 시점,현물가와 고정가 혼동
A021,최근 NAND 고정거래가격(128Gb TLC 기준)은?,수치,easy,기관,가격(USD);기준 규격;기준 월 · 출처,가격 + 규격 + 시점,완제품 가격과 혼동
A022,2026년 HBM 시장 규모 전망치는?,수치,easy,기관 · 증권사,전망 금액;성장률;전망 기관 · 발표 시점,금액 + 기관 제시. 전망치임을 명시,전망을 실적으로 서술
A023,2026년 글로벌 서버 출하량 전망 증감률은?,수치,mid,기관,증감률(%);대수 또는 기준;전망 기관,증감률 + 기관 제시,AI 서버와 전체 서버 혼동
A024,최근 분기 SK하이닉스 영업이익률은?,수치,easy,뉴스 · 증권사,영업이익률(%);해당 분기;산출 근거(매출 · 영업이익),비율 + 분기 제시,연간 누계와 혼동
A025,최근 분기 마이크론 DRAM ASP 변동률은?,수치,mid,증권사,ASP 변동률;해당 분기;비교 기준(QoQ · YoY),변동률 + 비교 기준 명시,QoQ · YoY 혼동
A026,2026년 DRAM 비트그로스 전망치는?,수치,mid,기관 · 증권사,비트그로스(%);공급 · 수요 구분;전망 기관,수치 + 공급/수요 구분,공급과 수요 비트그로스 혼동
A027,2026년 NAND 비트그로스 전망치는?,수치,mid,기관 · 증권사,비트그로스(%);공급 · 수요 구분;전망 기관,수치 + 구분 제시,동일
A028,최근 분기 DRAM 3사 점유율은?,수치,mid,기관,업체별 점유율(%);기준 분기;출처 기관,3사 모두 + 기준 분기,매출 기준과 비트 기준 혼동
A029,HBM3E 12단의 범용 DRAM 대비 가격 프리미엄 수준은?,수치,hard,증권사,프리미엄 배수 또는 %;비교 기준 제품;추정임을 명시,배수 + 기준 + 추정 표기,추정치를 확정 단가로 제시
A030,2026년 AI 서버 출하 대수 전망은?,수치,mid,기관 · 증권사,대수 또는 증감률;AI 서버 정의 범위;전망 기관,수치 + 정의 범위,정의 불명확한 수치 인용
A031,최근 분기 PC · 스마트폰 출하량 증감률은?,수치,mid,기관,PC 증감률;스마트폰 증감률;기준 분기 · 기관,두 품목 + 기준 분기,연간 전망과 분기 실적 혼동
A032,2026년 eSSD(QLC 포함) 수요 전망은?,수치,hard,기관 · 증권사,수요 규모(EB);증감률;전망 기관,EB 단위 + 기관 제시,용량 단위 혼동(TB · EB)
A033,2026년 메모리 업계 CapEx 총액 전망은?,수치,hard,증권사 · 기관,CapEx 금액;대상 업체 범위;전망 기관,금액 + 범위 제시,업체별 · 업계 합산 혼동
A034,최근 2주간 DRAM 가격 관련 보도를 정리해줘,기간,mid,뉴스,2주 내 기사만;날짜별 정리;가격 방향 요약,기간 밖 기사 미포함 + 날짜 표기,오래된 기사 혼입
A035,이번 분기에 발표된 감산 · 증설 계획을 정리해줘,기간,mid,뉴스 · 증권사,해당 분기 발표 건만;업체별 구분;규모 또는 시점,기간 필터 정확 + 업체 구분,이전 분기 발표 포함
A036,최근 한 달 HBM 관련 경쟁사 발표를 시간순으로 정리해줘,기간,mid,뉴스,한 달 내 건만;시간순 정렬;업체별 발표 내용,기간 + 정렬 + 업체 구분,정렬 누락 · 기간 초과
A037,계약가격 방향이 바뀐 시점과 당시 근거 보도는?,기간,hard,기관 · 뉴스,전환 시점(월);전환 방향;당시 근거 기사,시점 + 방향 + 근거 제시,시점 불명확
A038,최근 6개월 수출 규제 관련 조치를 시간순으로 정리해줘,기간,hard,뉴스 · 기관,6개월 내 조치;시간순;조치별 대상 · 범위,기간 + 정렬 + 대상 제시,발표일과 시행일 혼동
A039,이번 달 고객사 발주 · 재고 조정 관련 외부 보도는?,기간,mid,뉴스 · 증권사,이번 달 보도만;고객군 구분;조정 방향,기간 정확 + 방향 제시,추측성 보도와 공식 발표 혼동
A040,DRAM 가격 상승 요인을 공급 · 수요로 나눠 정리해줘,종합,mid,증권사 · 기관 · 뉴스,공급 요인 2개 이상;수요 요인 2개 이상;출처 2건 이상,양측 요인 + 복수 출처 인용,한쪽 요인만 서술
A041,HBM 경쟁 구도를 기술 · 고객 · 캐파 관점으로 정리해줘,종합,hard,증권사 · 뉴스,3사 기술 수준;주요 고객 관계;캐파 · 공급 계획,3개 관점 모두 + 업체별 구분,한 업체 중심 서술
A042,중국 메모리 업체 성장세가 범용 DRAM 시장에 주는 영향은?,종합,hard,기관 · 증권사,중국 캐파 · 제품 수준;가격 영향 경로;시차 또는 조건,영향 경로 + 조건 제시,단정적 결론
A043,AI 서버 수요가 서버 DRAM 과 eSSD 에 미치는 파급 경로는?,종합,mid,증권사 · 기관,AI 서버 수요 근거;DRAM 파급 경로;eSSD 파급 경로,두 품목 경로 모두 제시,한 품목만 서술
A044,NAND 업황 회복이 지연되는 원인을 정리해줘,종합,mid,증권사 · 기관,공급 측 원인;수요 측 원인;재고 상황,3개 축 중 2개 이상 + 출처,가격만 서술
A045,전력 · 부지 제약이 데이터센터 증설에 주는 제약을 정리해줘,종합,hard,기관 · 뉴스,전력 제약 사례;부지 · 인허가 제약;증설 일정 영향,2개 이상 제약 + 영향 연결,사례 없는 일반론
A046,HBM 공급 과잉 가능성에 대한 상반된 시각을 정리해줘,종합,hard,증권사,과잉 우려 논거;공급 부족 논거;각 시각의 출처,양쪽 시각 + 각각 출처,한쪽 시각만 제시
A047,관세 · 환율 변동이 메모리 손익에 미치는 경로는?,종합,hard,증권사 · 기관,관세 영향 경로;환율 영향 경로;민감도 또는 사례,두 경로 + 근거 제시,방향만 서술하고 경로 누락
A048,경쟁사 감산 발표가 실제 가격에 반영되기까지의 시차는?,종합,hard,증권사 · 기관,과거 사례;반영 시차(개월);조건 · 전제,사례 + 시차 제시,사례 없이 단정
A049,SK하이닉스와 삼성전자의 HBM4 로드맵을 비교해줘,비교,mid,뉴스 · 증권사,양사 일정;기술 사양 차이;출처 각각,양사 모두 + 항목별 대비,한 곳만 상세
A050,마이크론과 경쟁사의 미국 내 증설 규모를 비교해줘,비교,mid,뉴스 · 기관,업체별 투자 규모;지역 · 용도;시점,2개사 이상 대비 + 시점,총액과 단계별 투자 혼동
A051,DDR5 와 DDR4 가격 격차 추이를 비교해줘,비교,mid,기관,두 제품 가격;격차 추이 방향;기준 시점,양 제품 + 추이 제시,규격 · 기준 불일치
A052,증권사별 4분기 DRAM 가격 전망 차이를 비교해줘,비교,hard,증권사,증권사 2곳 이상 전망치;차이 원인;발표 시점,2곳 이상 + 차이 원인,평균만 제시
A053,HBM 과 범용 DRAM 의 수익성을 비교해줘,비교,hard,증권사,수익성 지표(마진 · ASP);비교 기준;추정 · 실적 구분,양쪽 지표 + 기준 명시,추정치를 실적처럼 제시
A054,중국 CXMT 와 글로벌 3사의 기술 격차를 비교해줘,비교,hard,기관 · 증권사,세대 · 공정 수준 비교;격차 기간(년);근거 출처,세대 비교 + 격차 + 출처,근거 없는 격차 단정
A055,당사 제품별 원가 구조와 수율은?,답없음,easy,-,"""확인된 자료 없음"" 응답;추정 수치 미제시",거절 + 추정 금지,추정치 생성
A056,경쟁사의 실제 고객별 계약 단가는?,답없음,easy,-,"""확인된 자료 없음"" 응답;비공개 사유 언급 가능",거절,시장가를 계약가로 제시
A057,2027년 확정 계약 물량은 얼마인가?,답없음,easy,-,"""확인된 자료 없음"" 응답;전망치와 구분 설명",거절 + 구분 설명,전망치를 확정으로 제시
A058,특정 고객사와의 계약 조건 세부 내용은?,답없음,easy,-,"""확인된 자료 없음"" 응답",거절,유사 보도 추정 제시
A059,TSMC 의 지난 분기 DRAM 출하량은?,답없음,mid,-,"전제 오류 지적(TSMC 는 DRAM 미생산);""자료 없음"" 또는 정정",전제 오류 지적 시 정답,숫자 생성
A060,다음 분기 DRAM 계약가격의 정확한 확정 수치는?,답없음,mid,-,확정 불가 설명;전망치는 전망으로 구분 제시 가능,확정 불가 명시,전망치를 확정으로 단정
