qid,question,q_type,gold_doc_ids,gold_text,정답_소스,정답_제목
G011,마이크로소프트 DDR5 서버 D램 인증 통과의 인증 결과는?,사실,B009,마이크로소프트의 DDR5 서버 D램 품질 인증에서 웨스턴디지털이 통과했다.,BROKER,마이크로소프트 DDR5 서버 D램 인증 통과 — 웨스턴디지털 물량 배분 상승
G012,eSSD QLC 재고 4.7주의 정상 재고 대비 상태는?,사실,I003,정상 재고 기준인 6주를 밑도는 상태가 1Q26까지 이어질 전망이다.,INSTITUTION,eSSD QLC 재고 4.7주 — 2026-08 기준 확대
G013,구글 DDR4 서버 D램 발주 확대의 발주 물량은?,수치,B007,구글이 2Q26 DDR4 서버 D램 발주 물량을 391만개로 확대 조정했다.,BROKER,구글 DDR4 서버 D램 발주 확대 — 2Q26 391만개 규모
G014,LPDDR5X 재고 3.2주의 정상 재고 대비 상태는?,사실,E005,정상 재고 기준인 5주를 밑도는 상태가 2Q26까지 이어질 전망이다.,EMAIL,LPDDR5X 재고 3.2주 — 2026-08 기준 상향
G015,"난야, 용인 클러스터 CXL 2.0 메모리 라인 감축의 캐파 비중은?",수치,B011,"월 웨이퍼 투입 기준 5만장 규모로, 전체 캐파의 약 59%에 해당한다.",BROKER,"난야, 용인 클러스터 CXL 2.0 메모리 라인 감축"
G016,CXMT 2028년 CapEx 11.6조원의 설비투자 규모는?,수치,E006,CXMT이 2028년 설비투자 규모를 11.6조원으로 제시했다.,EMAIL,CXMT 2028년 CapEx 11.6조원 — 전년 대비 30% 상승
G017,구글 CXL 2.0 메모리 발주 하락의 발주 물량은?,수치,N018,구글이 4Q26 CXL 2.0 메모리 발주 물량을 32만개로 하락 조정했다.,NEWS,구글 CXL 2.0 메모리 발주 하락 — 4Q26 32만개 규모
G018,키오시아 2028년 CapEx 16.8조원의 설비투자 규모는?,수치,M003,키오시아가 2028년 설비투자 규모를 16.8조원으로 제시했다.,MEETING,키오시아 2028년 CapEx 16.8조원 — 전년 대비 34% 하락
G019,"웨스턴디지털, 이천 M16 GDDR7 라인 감축의 캐파 비중은?",수치,R008,"월 웨이퍼 투입 기준 11만장 규모로, 전체 캐파의 약 44%에 해당한다.",REPORT,"웨스턴디지털, 이천 M16 GDDR7 라인 감축"
G020,CXL 2.0 메모리 고정거래가 하락의 가격 전망은?,수치,E011,2Q26 CXL 2.0 메모리 고정거래가는 전분기 대비 22% 하락할 것으로 전망된다.,EMAIL,CXL 2.0 메모리 고정거래가 하락 — 2Q26 22% 전망
G021,GDDR7 고정거래가 하향의 현물가 수준은?,수치,I008,"현물가는 2026-06 기준 3.25달러로, 전월 대비 18% 확대했다.",INSTITUTION,GDDR7 고정거래가 하향 — 3Q26 33% 전망
G022,CXMT 2027년 CapEx 13.3조원의 설비투자 규모는?,수치,N023,CXMT이 2027년 설비투자 규모를 13.3조원으로 제시했다.,NEWS,CXMT 2027년 CapEx 13.3조원 — 전년 대비 30% 상승
G023,HBM4 재고 8.5주 와 eSSD QLC 재고 4.7주 를 비교하면?,비교,E007;I003,2026-04 기준 HBM4 유통 재고는 8.5주 수준으로 전월 대비 상향했다.,EMAIL,HBM4 재고 8.5주 — 2026-04 기준 상향
G024,LPDDR5X 재고 3.2주 와 CXMT 2028년 CapEx 11.6조원 를 비교하면?,비교,E005;E006,2026-08 기준 LPDDR5X 유통 재고는 3.2주 수준으로 전월 대비 상향했다.,EMAIL,LPDDR5X 재고 3.2주 — 2026-08 기준 상향
G025,키오시아 2028년 CapEx 16.8조원 와 CXL 2.0 메모리 고정거래가 하락 를 비교하면?,비교,M003;E011,키오시아가 2028년 설비투자 규모를 16.8조원으로 제시했다.,MEETING,키오시아 2028년 CapEx 16.8조원 — 전년 대비 34% 하락
G026,공급 측 증설 · 감축 동향을 정리하면?,종합,B004;X003,삼성전자가 청주 M15X 공장의 eSSD QLC 생산능력을 재가동한다고 3일 밝혔다.,BROKER,"삼성전자, 청주 M15X eSSD QLC 라인 재가동"
G027,고객사 발주 동향을 정리하면?,종합,B014;B007,AMD이 1Q26 HBM3E 12단 발주 물량을 478만개로 하락 조정했다.,BROKER,AMD HBM3E 12단 발주 하락 — 1Q26 478만개 규모
G028,TSMC 의 2026년 DRAM 출하량은?,답없음,,전제 오류 — 코퍼스에 없는 대상,-,-
G029,2025년 1분기 eSSD 계약가격 추이는?,답없음,,수집 기간(2026-04~09) 밖,-,-
G030,인텔 파운드리의 HBM 수율은?,답없음,,보유 자료에 없는 대상 · 지표,-,-
